index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
25,b***e,赠品是正装，这次活动真的挺给力的,2021-04-22 09:37:26,Null,Null,Null,True,1129544993073,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
26,海***5,我的肤质：确实不错，皮肤比以前更漂亮了,2021-04-16 14:39:51,Null,Null,Null,True,1129669795523,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
27,卖***9,四百五两瓶一百毫升的，超值！,2021-04-18 17:25:44,Null,Null,Null,True,1128661928970,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
28,t***0,买一送一，还送了一堆东西。精华已经是多次购买，用了以后皮肤好多了,2021-04-20 17:29:54,Null,Null,Null,True,1129358973146,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
29,l***4,挺好的，感觉这个比淡斑小白瓶好用,2021-04-21 15:10:12,Null,Null,Null,True,1129908422939,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
30,邱***2,送了超级多赠品,2021-04-18 18:19:11,Null,Null,Null,True,1129101829906,True,精华,化妆品净含量:75ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
31,小***儿,很好用，用的时间长感觉确实有祛黄的效果,2021-04-17 11:48:54,Null,Null,Null,True,1128493536413,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
32,井***张,价格实惠，性价比很高。,2021-04-16 22:33:56,Null,Null,Null,True,1129327266142,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
33,周***车,旗舰店已经更新换代了，所以现在买降价了很便宜，买100送100送的是正装呢！！！用过两瓶30ml的，效果很不错，晒图全部是赠品，我的天，送了一大堆，很多旅行可以用的东西，太方便了。,2021-04-22 22:15:27,Null,Null,Null,True,1129642493161,True,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
34,f***3,以下全是赠品，厉害。谢谢老板慷慨,2021-04-21 12:45:11,Null,Null,Null,True,1129008104631,True,精华,化妆品净含量:50ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
35,t***8,满满一箱，送了好多赠品啊！超值！,2021-04-20 19:24:04,Null,Null,Null,True,1129373121117,False,精华,化妆品净含量:100ml,【店播专享】OLAY玉兰油光感小白瓶水感精华露美白烟酰胺精华液,tmall,https://detail.tmall.com/item.htm?id=640072526249&ns=1&abbucket=6
