index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
42,t***3,很符合我的肤质，用起来感觉很好,2021-03-04 21:55:33,Null,Null,Null,True,1124455451760,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
43,t***8,特别好，抹这挺舒服的，璎珞很棒,2021-03-05 12:43:14,Null,Null,Null,True,1123263292790,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
44,小***3,一直用她家的乳液。挺好的，性价比高,2021-03-11 13:17:08,Null,Null,Null,True,1125044043821,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
45,周***6,小晨服务好,2021-03-18 20:42:20,效果挺好的,2021-03-18 20:44:17,8,True,1124660104166,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
46,l***3,用着不错，吸收很好,2021-03-11 08:13:18,Null,Null,Null,True,1123776632329,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
47,s***s,很舒服，会继续购买！,2021-03-20 21:41:52,Null,Null,Null,True,1126166119049,True,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
48,t***5,女朋友推荐买的，不错,2021-03-09 00:07:51,Null,Null,Null,True,1123989269405,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
49,j***l,多次购买了，宝贝很好的,2021-03-11 13:26:45,Null,Null,Null,True,1124665902628,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
50,m***5,发货迅速，挺好用的。,2021-03-16 15:15:07,Null,Null,Null,True,1125589435446,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
51,t***0,用的很舒服,2021-03-13 19:58:13,Null,Null,Null,True,1124930890485,False,乳液,化妆品净含量:120g,半亩花田神经酰胺润肤乳补水女焕亮养护提亮肤色滋润保湿乳液正品,tmall,https://detail.tmall.com/item.htm?id=615628600530&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
